Person code,Person name,Project code,Project name,Activity code,Activity name,Decimal,Price,Year,Month
Anton,Anton De Prijcker,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,3.95,154.05,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,0.23,9.1,2015,3
Piet,Piet Van Dender,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,1.12,43.55,2015,3
Piet,Piet Van Dender,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,0.78,30.55,2015,3
Anton,Anton De Prijcker,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,1.35,52.65,2015,3
Piet,Piet Van Dender,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,0,0,2015,3
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,0.8,0,2015,3
Piet,Piet Van Dender,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,3.95,154.05,2015,3
Piet,Piet Van Dender,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,0.42,16.25,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,1.72,66.95,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,0.02,0.65,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0.55,21.45,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,1.67,65,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,3.58,139.75,2015,3
Anton,Anton De Prijcker,150019 DIELEMAN T,150019 DIELEMAN T,Maatwerk MAKEN,Maatwerk MAKEN,0.5,19.5,2015,3
Piet,Piet Van Dender,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,5.33,208,2015,3
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,1.12,0,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.07,80.6,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk MAKEN,Maatwerk MAKEN,3.95,154.05,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.03,157.3,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.08,159.25,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4,156,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4,156,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,5.22,203.45,2015,3
Anton,Anton De Prijcker,VDP,VDP INTERIEUR BVBA,VERLOF,VERLOF,9,0,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.22,164.45,2015,3
Anton,Anton De Prijcker,VDP,VDP INTERIEUR BVBA,VERLOF,VERLOF,9,0,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.2,163.8,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.88,151.45,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0,0,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,1.22,47.45,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.45,95.55,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.68,182.65,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.68,182.65,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.72,105.95,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.3,167.7,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4,156,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.2,163.8,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.02,156.65,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.6,101.4,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.73,184.6,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.07,158.6,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.73,184.6,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,1.53,59.8,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,9,351,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,8.98,350.35,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.03,157.3,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.75,185.25,2015,3
Piet,Piet Van Dender,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.03,157.3,2015,3
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.75,185.25,2015,3
Piet,Piet Van Dender,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,0.03,1.3,2015,3
Anton,Anton De Prijcker,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,0.63,0,2015,3
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,0.02,0.65,2015,3
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,0.87,0,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,4.02,156.65,2015,3
Anton,Anton De Prijcker,150006 De Prijcker,150006 De Prijcker,Maatwerk MAKEN,Maatwerk MAKEN,0.47,18.2,2015,3
Anton,Anton De Prijcker,150007 willems,150007willems,X MAATWERK MAKEN,X MAATWERK MAKEN,2.23,87.1,2015,3
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,3.25,0,2015,3
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,0.48,18.85,2015,3
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,0.62,0,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,2.37,92.3,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,1.92,74.75,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,5.92,230.75,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,5.93,231.4,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,1.93,75.4,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,2.37,92.3,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.58,178.75,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.58,178.75,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.88,151.45,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.1,159.9,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.98,155.35,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.45,173.55,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.45,173.55,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.27,166.4,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.05,40.95,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0.17,6.5,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,4.07,158.6,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0.4,15.6,2015,3
Piet,Piet Van Dender,140329B HOLVOET,140329B HOLVOET,X Extra werk allerlei,X Extra werk allerlei,2.03,79.3,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.1,42.9,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0,0,2015,3
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0.63,24.7,2015,3
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,3.55,0,2015,3
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,X Extra werk allerlei,X Extra werk allerlei,2.03,79.3,2015,3
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.53,59.8,2015,2
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0,0,2015,2
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.55,60.45,2015,2
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,0.68,0,2015,2
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,4.27,0,2015,2
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0,0,2015,2
Anton,Anton De Prijcker,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,0.77,0,2015,2
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,0.6,0,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,3.32,129.35,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,3.95,154.05,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,3.55,138.45,2015,2
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,X Extra werk allerlei,X Extra werk allerlei,0.18,7.15,2015,2
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk MAKEN,Maatwerk MAKEN,3.15,122.85,2015,2
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0.03,1.3,2015,2
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0.55,21.45,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,0.13,5.2,2015,2
Piet,Piet Van Dender,140329B HOLVOET,140329B HOLVOET,X Extra werk allerlei,X Extra werk allerlei,2.83,110.5,2015,2
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,2.42,94.25,2015,2
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,X MAATWERK MAKEN,X MAATWERK MAKEN,0.25,9.75,2015,2
Anton,Anton De Prijcker,150009 VAN DAELE - POPPE,150009 VAN DAELE - POPPE,Z Transport,Z Transport,0.25,9.75,2015,2
Piet,Piet Van Dender,140329B HOLVOET,140329B HOLVOET,Maatwerk MAKEN,Maatwerk MAKEN,1.1,42.9,2015,2
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,2.62,0,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,4.07,158.6,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,3.95,154.05,2015,2
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,3.47,135.2,2015,2
Piet,Piet Van Dender,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.33,52,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,4,156,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.75,68.25,2015,2
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,0.42,16.25,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,1.83,71.5,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,2.67,104,2015,2
Anton,Anton De Prijcker,150010B VERLENT,150010B VERLENT,Maatwerk MAKEN,Maatwerk MAKEN,4,156,2015,2
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,1.33,52,2015,2
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,4,156,2015,2
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,8,0,2015,2
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,3.83,149.5,2015,2
Piet,Piet Van Dender,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.18,85.15,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.18,85.15,2015,2
Piet,Piet Van Dender,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.33,169,2015,2
Piet,Piet Van Dender,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0.95,37.05,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk MAKEN,Maatwerk MAKEN,1.83,71.5,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.13,161.2,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.02,156.65,2015,2
Piet,Piet Van Dender,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.02,156.65,2015,2
Piet,Piet Van Dender,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.25,165.75,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.25,165.75,2015,2
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,8.43,0,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Z laden en lossen + opkuisen werkplaats,Z laden en lossen + opkuisen werkplaats,1.5,0,2015,2
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,2.5,97.5,2015,2
Anton,Anton De Prijcker,150011 ERIK VAN DENDER,150011 ERIK VAN DENDER,Maatwerk MAKEN,Maatwerk MAKEN,1.67,65,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk MAKEN,Maatwerk MAKEN,2.33,91,2015,2
Piet,Piet Van Dender,15000 De Clercq - Vehent,15000 De Clercq - Vehent,X MAATWERK MAKEN,X MAATWERK MAKEN,0.5,19.5,2015,2
Anton,Anton De Prijcker,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Z laden en lossen + opkuisen werkplaats,Z laden en lossen + opkuisen werkplaats,0.4,0,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk MAKEN,Maatwerk MAKEN,4,156,2015,2
Anton,Anton De Prijcker,150007 willems,150007willems,Maatwerk MAKEN,Maatwerk MAKEN,2.67,104,2015,2
Piet,Piet Van Dender,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,4,156,2015,2
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk MAKEN,Maatwerk MAKEN,0.93,36.4,2015,2
Piet,Piet Van Dender,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,2.5,97.5,2015,2
Anton,Anton De Prijcker,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,4,156,2015,2
Piet,Piet Van Dender,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,2.5,97.5,2015,2
Piet,Piet Van Dender,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,4,156,2015,2
Anton,Anton De Prijcker,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,3.5,136.5,2015,2
Anton,Anton De Prijcker,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,4.5,175.5,2015,2
Piet,Piet Van Dender,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,4,156,2015,2
Anton,Anton De Prijcker,15000 De Clercq - Vehent,15000 De Clercq - Vehent,Gyprocwerken ,Gyprocwerken,4,156,2015,2
